absolute_path,file_name,file_size_bytes,file_md5,女性人物形象描述,场景和剧情推测,提取关键词,存在的标签有
/Users/firewell/影视/AV/#整理完成/桜空もも/MIMK-200-UC 40，000部突破の人気作堂々実写化！日間1位週間1位月間1位3冠獲得！ 早漏克服クリニック 実写版 何度も何度も射精させてチ○ポ耐久アップさせてくれるエロカワ女医さん/MIMK-200-UC.mp4,MIMK-200-UC.mp4,6500921329,7102f6634e4124b3aab272602db2e9cb,"- 外貌特征：年龄约28岁，身材丰满，长发（带有粉色大蝴蝶结，扎成马尾样式），妆容为淡妆搭配红唇，显得精致。
- 服装穿着：身着白色医生大褂，内搭粉色低胸上衣，穿着黑色短裤与丝袜，佩戴红色眼镜，无眼罩。
- 是否穿着丝袜以及丝袜的颜色：穿着丝袜，颜色为黑色。
- 整体气质和风格：整体气质主动热情，风格融合医生职业装的正式感与亲密互动的性感感，呈现御姐或熟女的魅力。","- 女性职业：医生（通过穿着白色医生大褂及医疗场景判断）。
- 场景环境描述：室内医疗环境，设有医疗床、桌子、电脑等设备，墙面为绿色与白色搭配，整体整洁明亮，属于诊所或医院的诊疗房间。
- 可能的剧情情节：剧情围绕医疗场景下的亲密互动展开，女性（医生角色）与男性发生亲密行为，融合医疗护理与情感情节，属于成人影视中的医疗题材类型，包含身体接触、亲密动作等情节。
- 人物关系和互动：女性与男性为亲密关系，互动超出常规医疗范围，呈现暧昧或亲密的互动模式，包含身体接触等互动行为。",提取的关键词及重点关注内容：医生、眼镜、丝袜、巨乳、大奶、医疗场景、亲密行为、粉色蝴蝶结、长发、淡妆、医生外套、医疗床、互动动作、性感、熟女、御姐、护士、黑丝等。,医生、丝袜、眼镜、巨乳、大奶、熟女、御姐、性感、护士、口交、情趣装、姐姐、床上、老师、已婚、丝袜、黑丝、医疗、亲密行为
/Users/firewell/影视/AV/#整理完成/桜空もも/OFES-025-C BEAUTY VENUS THE HARLEM-episode2- 最高峰巨乳美女たちが国賓並みにおもてなしご奉仕してくれる超高級ハーレム風俗ハシゴツアー/OFES-025-C.mp4,OFES-025-C.mp4,7948506568,8874bee5a53cc79550c3cf06b3f4c43c,"- 外貌特征：年龄约25 - 30岁，属于成熟女性；身材丰满，胸部与臀部线条突出；发型多为长发、盘发或扎发等造型，发色以黑色为主；妆容为浓妆，眼妆、唇妆精致。
- 服装穿着：身着各类情趣内衣（如蕾丝吊带、内裤、连体装等），颜色有红色、白色、黑色等；无鞋子类穿着；未佩戴眼镜、眼罩；穿着丝袜，颜色包含黑色、白色等。
- 是否穿着丝袜以及丝袜的颜色：穿着丝袜，颜色有黑色、白色等。
- 整体气质和风格：整体气质性感、暧昧，风格符合成人影视中激情、亲密的表现形式，给人充满诱惑与热情的感觉。","- 女性职业：推测为成人影视演员，饰演情色场景中的女性角色，承担情色表演与互动等职责。
- 场景环境描述：场景多为室内私密空间，如浴室（设有瓷砖、淋浴设施等）、酒店房间、情趣工作室等，环境布置暧昧，灯光柔和或色彩丰富，空间封闭且私密，适合亲密互动。
- 可能的剧情情节：围绕多人情色互动展开，包含抚摸、挑逗、亲密接触等情节，属于成人娱乐类剧情，涉及多角色互动与性爱场景等。
- 人物关系和互动：人物关系偏向亲密、暧昧，可能是闺蜜、朋友等关系，在私密环境中进行亲密互动行为，动作有轻抚、挑逗、配合等，关系围绕情色互动展开。",提取的关键特征标签：熟女、性感、丝袜、巨乳、多人、一男两女、黑丝、白丝、情趣内衣、浴室、亲密互动、浓妆、丰满、闺蜜、已婚、情趣装、床上、御姐、漂亮、约炮、出轨、高颜值。,熟女、性感、丝袜、巨乳、多人、一男两女、黑丝、白丝、情趣内衣、浴室、亲密互动、浓妆、丰满、闺蜜、已婚、情趣装、床上、御姐、漂亮、约炮、出轨、高颜值
"/Users/firewell/影视/AV/#整理完成/楓ふうあ,明日葉みつは/PFES-107-C 楓ふうあ170cm 明日葉みつは175cm 合計345cmの長身美女のWパンストで挟撃ロック！身動き出来ずにイカせられちゃう5コーナー/PFES-107-C.mp4",PFES-107-C.mp4,8917892448,e9bddce3f514fbe30ee3af9b1814eb07,"- 外貌特征：年龄约28 - 33岁，属于熟女范畴；身材丰满；发型为长发（包含黑色、棕色等款式，部分为马尾造型）；妆容为浓妆，红唇、眼妆等细节明显，整体状态健康且具有活力。
- 服装穿着：前期身着白色衬衫、条纹衬衫（属职业装/OL风格），搭配黑色短裙与黑色丝袜；后期穿着蕾丝内衣、黑色情趣装，搭配黑色丝袜、黑色高跟鞋等。未佩戴眼镜、眼罩，鞋子包含高跟鞋等款式。
- 是否穿着丝袜以及丝袜的颜色：穿着黑色丝袜。
- 整体气质和风格：成熟性感，兼具职场女性的干练特质与性感的熟女风格，动作和互动展现出主动且亲密的气质，整体风格偏向成人影视中熟女、御姐类角色。","- 女性职业：OL（职场女性/办公室职员）
- 场景环境描述：室内环境，包含办公室、酒店房间、按摩场所（设有按摩床、蜡烛等装饰元素），空间布置温馨且私密，适合多人互动场景。
- 可能的剧情情节：围绕职场关系展开的亲密/性互动情节，涉及换妻、出轨、多人互动等元素，呈现办公室内或私人场所中女性间及与男性间的亲密接触行为。
- 人物关系和互动：女性之间为闺蜜或同事关系，与男性为伴侣或暂时互动关系，互动亲密，存在性接触行为。",熟女、性感、黑丝、丝袜、眼镜、OL、职业装、办公室、蕾丝内衣、情趣装、一男两女、床上、酒店、御姐、丰满、闺蜜、出轨、性感、丝袜、情趣装、办公室、熟女、御姐、床上、酒店、互动、亲密,黑丝、丝袜、熟女、御姐、性感、OL、职业装、办公室、情趣装、一男两女、床上、酒店、眼镜、丰满、闺蜜、出轨、互动、亲密、少妇、极品、偷情、人妻、女神、巨乳、漂亮、淫荡、丰满、老师、熟女、情趣装、办公室、御姐、床上、酒店、黑丝、丝袜、眼镜
"/Users/firewell/影视/AV/#整理完成/橘メアリー,大槻ひびき/DASS-573 女性AV脚本家 Debut─ 付き合ったAV女優から、女優業を勧められて/DASS-573.mp4",DASS-573.mp4,6258079582,7dade9800ac1d3832a76838b90f3a1e1,"- 外貌特征：图中女性多为成年女性，年龄约25 - 35岁，身材多样（部分丰满、部分中等），发型有长发（含刘海）、马尾、短发等；妆容或为浓妆、淡妆，部分为素颜或红唇，面部五官精致，神态符合剧情角色需求。
- 服装穿着：服饰类型丰富，有正式职业装（如白色无袖连衣裙、黑色西装）、休闲装（牛仔裤、T恤）、情色装（蕾丝内衣、胸罩、丁字裤等）；鞋子有高跟鞋、休闲鞋等；部分人物戴眼镜，无眼罩；存在穿着丝袜的女性，丝袜颜色为黑色、白色等。
- 是否穿着丝袜以及丝袜的颜色：存在穿着丝袜的女性，丝袜颜色包含黑色、白色等。
- 整体气质和风格：整体气质偏向感性、主动，风格从职场正式过渡到私密亲密，展现成熟女性的魅力与情感互动的张力。","- 女性职业：推测为职场女性（如办公室职员、律师等），后期剧情转向情色角色（如“人妻”“熟女”），涉及情色互动相关职业角色。
- 场景环境描述：场景包含办公室（玻璃墙、办公桌、模特等，图2场景）、卧室（床、窗帘、床具等，后续多数场景）、酒店房间（私密空间），环境从正式职场空间向私密亲密空间过渡。
- 可能的剧情情节：剧情从职场同事交流（图2场景），发展为私密空间内的亲密互动，涉及情色情节，如“偷情”“出轨”“女同”或多人互动，展现女性间的情感与身体互动。
- 人物关系和互动：人物关系包含同事关系、亲密关系（如闺蜜、配偶、情妇等），互动形式有交流、接吻、抚摸、性互动等，体现亲密或情色关系的发展。",提取的关键词有：办公室、内衣、蕾丝、胸罩、丝袜、亲吻、抚摸、女性、眼镜、长发、熟女、性感、亲密、卧室、性互动、职业装、性装、私密空间、女同等。,少妇、人妻、熟女、丝袜、眼镜、办公室、女同、偷情、出轨、性感、闺蜜、内衣、巨乳、身材、高颜值、御姐、漂亮、约炮、女同
"/Users/firewell/影视/AV/#整理完成/波多野结衣,有岡みう/MIAB-503 町内会サンバカーニバル練習に付き合わされムチムチボディW爆乳セニョリータの魅惑の腰つき騎乗位で精子搾られたボク。 有岡みう 波多野結衣/MIAB-503.mp4",MIAB-503.mp4,5298992334,47335a78f31a963683705bda276d22ea,"- 外貌特征：年龄约为25 - 30岁，身材丰满，留着中长发并带有齐肩刘海，妆容为浓妆风格，包含红唇、眼妆等，面部表情随场景呈现出丰富的情感变化。
- 服装穿着：穿着多样，有红色宽松上衣、浅粉色无袖连衣裙，以及带有亮片装饰、羽毛头饰的性感表演服饰（涵盖比基尼式上衣、网袜等款式）；未展示特殊鞋子，多为赤脚或表演装无鞋；没有佩戴眼镜、眼罩类物品。
- 是否穿着丝袜以及丝袜的颜色：穿着丝袜，丝袜颜色包含黑色和粉色网袜。
- 整体气质和风格：性感成熟，风格偏向成人表演或角色扮演，具有舞台表演的沉浸感与亲密互动特质，整体风格性感且富有表现力。","- 女性职业：推测为成人影视演员或夜店、演出类表演者（依据服饰风格与场景互动性质判断）。
- 场景环境描述：为室内居家环境，布置有沙发、茶几、窗户等生活设施，光线柔和，呈现出生活化的空间氛围。
- 可能的剧情情节：围绕多人亲密互动、性爱或角色扮演的成人题材剧情展开，包含表演式互动与亲密接触等环节。
- 人物关系和互动：女性之间为工作搭档关系（表演或工作伙伴），与男性角色为互动对象（表演或剧情中的伴侣/对象），互动亲密且具有表演性质。",性感、网袜、浓妆、羽毛头饰、表演装、室内、亲密互动、成熟女性、亮片服饰、红唇、比基尼、鱼网袜、羽毛装饰、多人、一男两女、性感、闺蜜、已婚、丝袜、奶子、高颜值、口交、情趣装、姐姐、床上、熟女、丰满,性感、丝袜、熟女、巨乳、身材、黑丝、双飞、换妻、女友、大奶、内射、露脸、熟女、淫荡、御姐、漂亮、约炮、出轨、情趣装、姐姐、多人、一男两女、性感、闺蜜、已婚、丝袜、奶子、高颜值、口交、情趣装、姐姐、床上、淫妻、女技师、秘书、凌辱、强暴、模特、成熟、长发、浓妆、红唇、丰满
/Users/firewell/影视/AV/#整理完成/滝冬ひかり/HODV-21969 淫らな吐息と潤んだ瞳で、いっぱい舐めるから…いっぱい挿れて…トロ顔おねだりフェラチオ 巴ひかり/HODV-21969.mp4,HODV-21969.mp4,6436274034,48e206482bb732e36ec889730b380942,"- 外貌特征：年龄约为20 - 30岁，身材丰满，长发（发型包含编发、马尾造型等，装饰有白色花饰头带），妆容为浓妆（眼妆、红唇等精致妆容，带有假睫毛等点缀），整体面容精致。
- 服装穿着：身着红色礼服（搭配白色花饰头带）、红色吊带、青绿色吊带等衣物，风格偏向性感暴露；穿着黑色丝袜（包含长筒薄丝袜），无眼镜、眼罩；整体服装带有蕾丝、吊带等元素，风格时尚且突出性感。
- 是否穿着丝袜以及丝袜的颜色：穿着丝袜，丝袜颜色为黑色。
- 整体气质和风格：气质性感主动，带有表演性的热情特质，风格偏向成人影视中展现的亲密、性感互动风格。","- 女性职业：饰演成人影视中的“情色/亲密互动”角色，属于影视表演演员。
- 场景环境描述：室内私密空间，布置有床、装饰性窗帘（粉色、紫色、绿色等）、灯具、沙发、植物等，环境温馨且富有装饰性，类似酒店房间或私人居住空间。
- 可能的剧情情节：围绕亲密互动、性相关情节展开，包含亲吻、身体接触等表演性互动，属于成人影视中常见的亲密互动情节类型。
- 人物关系和互动：与男性演员存在亲密表演关系，互动行为包含亲吻、身体接触等，角色关系为表演搭档性质，属于影视场景下的亲密互动呈现。",提取的关键特征标签有：丝袜、吊带、蕾丝、性感、亲吻、床上、室内、长发、浓妆、女性、男性、亲密互动、装饰性头饰、室内布置等。,少妇、熟女、性感、丝袜、吊带、床上、室内、亲吻、蕾丝、浓妆、黑丝、床上、性感、丝袜、蕾丝、熟女、御姐、女性、男性、亲密
/Users/firewell/影视/AV/#整理完成/滝川すみれ/IPZZ-535-C 大嫌いな上司に媚薬を飲まされ卑猥下着を着せられ何度もイキまくる巨乳地味メガネOL 入社した会社は変態達の巣窟でした…。/IPZZ-535-C.mp4,IPZZ-535-C.mp4,5359944854,d2e90adfd313befe7b1017f03d0bfa82,"- 外貌特征：年龄约25 - 30岁，身材丰满，长发且带有齐刘海，佩戴圆形金属边框眼镜，妆容为浓妆（红唇等细节），面部有自然妆容与表演化妆容结合；
- 服装穿着：前期穿着条纹衬衫、黄色上衣，后期穿着多种服饰包括粉色内衣、黑色内衣、灰色内裤，搭配黑色丝袜，未明确显示鞋子；
- 是否穿着丝袜以及丝袜的颜色：穿着黑色丝袜；
- 整体气质和风格：具有性感与表演性气质，风格偏向成人题材角色演绎，整体呈现出诱惑与亲密感的演绎风格。","- 女性职业：推测为办公室职员（结合开头具有办公设备与办公环境的场景），或从事与情趣、服务相关职业（如女技师等）；
- 场景环境描述：场景包含办公室（配备电脑等办公设备，灯光为暖色调，营造办公氛围）与私密居住空间（房间内有床、柔和灯光，布置温馨且私密）；
- 可能的剧情情节：剧情围绕办公室女性与男性角色展开，从办公室互动后进入私密空间，发生亲密接触、身体互动等情节，属于成人题材的亲密、暧昧类剧情，包含表演性质的互动环节；
- 人物关系和互动：女性与男性角色之间为亲近关系（如同事、熟人），互动包含亲密接触、身体互动等，关系偏向暧昧或表演类亲密关联。",提取的关键词为：女性、长发、戴眼镜、黑丝、丰满身材、办公室、私密空间、丝袜、内衣、亲密互动、性感、熟女、眼镜、床上、情趣装等，核心关键特征标签为：黑丝、丝袜、眼镜、办公室、熟女、性感、内衣、床上、情趣装、御姐、姐姐、已婚、丝袜、高颜值、性感、熟女、巨乳、身材、床上、情趣装、女技师、办公室、丝袜、眼镜、熟女、御姐、姐姐、已婚等。,黑丝、丝袜、眼镜、办公室、熟女、性感、内衣、床上、情趣装、御姐、姐姐、已婚、丝袜、高颜值、性感、熟女、巨乳、身材、床上、情趣装、女技师、办公室、丝袜、眼镜、熟女、御姐、姐姐、已婚
"/Users/firewell/影视/AV/#整理完成/真木今日子,夕美しおん/MIAB-533-C MIAB-533 爆乳親子丼レ●プ 夫の借金のため絶倫極道の鬼ピス肉便器調教で13発中出しさせられた母娘たち…。 真木今日子 夕美しおん （BOD）/MIAB-533-C.mp4",MIAB-533-C.mp4,6181963530,90dd2413e40fc94e0185b09c2d182fe5,"- 外貌特征：年龄约30 - 35岁，属于成熟女性；身材丰满，曲线明显；发型为中长度卷发（或自然卷曲造型），发丝顺滑；妆容为浓妆，红唇、眼妆等细节体现，面部精致。
- 服装穿着：衣物包含白色长款风衣（宽松过膝）、深蓝色无袖上衣、白色蕾丝内搭、浅色蕾丝纹理半身裙；鞋子未明确显示但可能为高跟鞋；无眼镜、眼罩；穿着黑色过膝丝袜（如穿校服的女性角色）。
- 是否穿着丝袜以及丝袜的颜色：穿着丝袜，颜色为黑色（或存在白色过膝袜，依画面细节判断）。
- 整体气质和风格：兼具成熟性感的熟女气质与职业女性的干练，风格偏向性感妩媚，整体形象突出丰满曲线与精致妆容，展现成熟女性的魅力。","- 女性职业：推测为办公室职员（OL）或教师，从服装（风衣、校服）和场景（办公室、仓库）判断与职场或校园职业相关。
- 场景环境描述：包含老旧仓库/办公室（有木质楼梯、旧家具、大窗户、杂乱物品）、浴室（瓷砖墙面、洗手台、淋浴环境）等多场景，环境偏私密且老旧，充满生活气息与私密空间氛围。
- 可能的剧情情节：围绕职场或校园内的亲密关系展开，包含亲密互动（接吻、脱衣、亲密接触）、多人参与的身体互动等情节，剧情涉及暧昧、偷情或亲密行为。
- 人物关系和互动：存在同事、师生等关系，角色间互动亲密，包含接吻、身体接触、多人参与互动等，关系围绕亲密互动发展。",提取关键词：熟女、丝袜、黑丝、办公室、老师、性感、风衣、校服、亲密互动、浴室、丰满、蕾丝、过膝袜、浓妆、御姐、约炮、出轨、OL、职业装、办公室、丝袜、奶子、床上、自慰、情趣装、姐姐、强奸、迷奸、多人、群交、一男两女、OL、办公室、性感、丝袜、眼镜、学生、口交、情趣装等，重点关注人物特征（长发、丰满、浓妆）、服装（风衣、校服、蕾丝、过膝袜）、场景（办公室、仓库、浴室）、动作（亲密、脱衣、互动）。,熟女、丝袜、黑丝、办公室、老师、性感、风衣、校服、亲密、浴室、丰满、蕾丝、过膝袜、浓妆、御姐、约炮、出轨、OL、职业装、办公室、丝袜、奶子、床上、自慰、情趣装、姐姐、强奸、迷奸、多人、群交、一男两女、OL、办公室、性感、丝袜、眼镜、学生、口交、情趣装
/Users/firewell/影视/AV/#整理完成/真白りま/goul-014 GOUL-014 産休明けNTR 溢れ出る母乳、抑えられない欲求― 愛と快楽に溺れた中出し社内不倫。/goul-014.mp4,goul-014.mp4,5632075727,5305f3e5acb6cc283cb99e508e309583,"- 外貌特征：年龄约30 - 40岁的成熟女性，中长发（带有刘海），身材丰满（胸部和臀部较为圆润）；妆容以浓妆为主（红唇、眼妆明显），也有淡妆和素颜状态，面部有自然纹理，属于成熟女性特征。
- 服装穿着：衣物类型包含职业装（黑色西装外套、白色衬衫，搭配工牌，属于OL风格）和情趣装（黑色丝袜、吊带内衣等）；颜色以黑色为主，搭配白色衬衫；无特殊鞋子展示，风格前期为职场干练，后期转为性感暴露；无眼镜或眼罩。
- 是否穿着丝袜以及丝袜的颜色：穿着丝袜，颜色为黑色（黑丝）。
- 整体气质和风格：前期呈现职场女性的干练气质，后期转变为性感、媚惑的风格，整体风格随剧情发展从职业化转为亲密、暴露的表演风格。","- 女性职业：推测为办公室职员（如秘书、普通职员），属于职业女性（OL），穿着职业装符合职场身份。
- 场景环境描述：场景为室内环境，包含办公室（百叶窗、办公椅、工牌）和居住空间（沙发、浴室等），无户外场景。
- 可能的剧情情节：从职场对话逐步发展为亲密互动，推测剧情围绕办公室情感关系（如婚外情、出轨），女性角色在与男性角色（可能是长辈或上级）的互动中，从正常对话转为亲密、性接触，涉及出轨、亲密关系等情节。
- 人物关系和互动：女性与男性角色为职场上下级或熟人关系，前期有对话交流，后期发展为亲密、性接触的互动，关系从正常职场关系转为亲密、暧昧甚至出轨关系。",女性、黑丝、职业装、办公室、裸露、亲密动作、丰满身材、红唇、熟女、性感、人妻、内射、床、办公室环境、情趣装、御姐、巨乳、后入,少妇、人妻、熟女、巨乳、黑丝、后入、性感、身材、内射、丝袜、奶子、高颜值、御姐、出轨、人妻、已婚、口交、情趣装、办公室、秘书、床上、露脸、阿姨、颜值、微胖、长发、红唇、丰满、姐姐、会所、女技师、强奸、强暴、凌辱、对白、骚话、丝袜、奶子、高颜值、约炮、打桩、上级、屈辱、精液、巨乳、女神
/Users/firewell/影视/AV/#整理完成/綾美なな/APGH-041 APGH-041 放課後美少女H 腰使いエグっ！騎乗位マスターの無邪気っ娘に搾られた！セクササイズで締まった美スリムボディのアゲまん娘！【イチャLOVEハメ撮り姦淫デート】綾美なな/APGH-041.mp4,APGH-041.mp4,6183246024,61c46e89b3709cc93054e80f529fbe96,"- 外貌特征：年龄约20 - 25岁，身材丰满，发型为棕色中长发（带有刘海），妆容为淡妆，面部有少量雀斑，整体面部轮廓较为圆润。
- 服装穿着：身着白色短袖衬衫（类似校园制服），搭配灰色大格纹领结，下身穿格纹百褶短裙，部分场景下穿着白色短裤与黑色袜子；未佩戴眼镜或眼罩，鞋子未在画面中呈现。
- 是否穿着丝袜以及丝袜的颜色：从现有画面信息看，未明确显示穿着丝袜（或丝袜未清晰呈现），因此推测未穿着丝袜（或未展示丝袜）。
- 整体气质和风格：结合校园风格服装与剧情化互动场景，整体气质偏向青涩的学生感，风格带有情节性亲密互动特质，呈现出校园相关演绎的戏剧化氛围。","- 女性职业：推测为女学生（基于校园风格服装判断）。
- 场景环境描述：场景为室内私密空间，包含沙发、木质家具与窗户等元素，属于私人住宅或酒店房间类环境，光线偏暗，营造出私密氛围。
- 可能的剧情情节：结合画面中人物的手部互动、身体接触等动作，推测剧情为校园情节下的亲密互动或角色扮演类剧情，可能涉及同学、师生或亲密关系下的激情演绎，整体偏向情节性表演。
- 人物关系和互动：从互动行为（如手部抚摸、身体接触）推测，人物关系可能是亲密的同学、恋人或表演中的角色关系，互动带有情节性的亲密接触行为。",提取的关键词包括：女学生、校服、白色衬衫、灰领结、格纹短裙、淡妆、丰满身材、室内、私密空间、亲密互动、身体接触、校园、激情、学生服装、互动等。,学生、女学生、校服、丰满、黑丝、亲密、私密、校园、老师、激情、身体接触、学生服装、丝袜、淡妆、室内、私密空间
"/Users/firewell/影视/AV/#整理完成/美乃すずめ,桃尻かなめ,本郷愛/FCDSS-104 FCDSS-104 乳首が透けているノーブラ巨乳娘の超誘惑セックス4時間ベスト！【FALENO名作セレクション】/FCDSS-104.mp4",FCDSS-104.mp4,10943192909,22a6cb7bf16a4db1568942f81ef9ea8a,"- 外貌特征：年龄约30 - 40岁，身材丰满，曲线明显；发型多样，包含中短发、中长发、马尾等；妆容为淡妆或浓妆，有红唇，整体精致；面部有自然纹理，显得成熟。
- 服装穿着：衣物类型涵盖居家装（如粉色上衣）、衬衫（白色）、高领无袖衫（灰色）、T恤（浅色）、内裤（裸露等），颜色有粉色、白色、灰色、浅色等；风格结合居家休闲与情色表演；鞋子未在画面中明显显示；无眼镜、眼罩等配饰；穿着黑色丝袜。
- 是否穿着丝袜以及丝袜的颜色：穿着丝袜，颜色为黑色。
- 整体气质和风格：成熟妩媚，主动热情，具有情色表演的专业气质，风格偏向性感诱惑。","- 女性职业：情色演员（专业从事成人影视表演），或饰演“熟女”“人妻”等情色题材角色。
- 场景环境描述：以室内场景为主，涵盖卧室、客厅、酒店房间、类似办公室或居住空间等，布置温馨或居家，包含床、沙发、桌子、窗帘、家具等元素，光线柔和，营造私密氛围。
- 可能的剧情情节：围绕亲密互动与情色行为展开，包含亲吻、抚摸、性接触等动作，情节可能涉及婚外情、亲密关系、情色表演等，剧情节奏偏向亲密与挑逗。
- 人物关系和互动：与男性角色保持亲密互动，关系偏向情色合作或亲密伴侣，互动行为频繁且具有挑逗性，动作亲昵。",成熟、丰满、短发、长发、浓妆、淡妆、白色衬衫、黑色丝袜、粉色衣服、灰色高领、T恤、内裤、室内场景、亲密互动、性接触、情色表演、酒店、卧室、熟女、人妻、性感、丰满、丝袜、裸露、高颜值、御姐、性感、巨乳、床上、酒店、办公室、情趣装,熟女、人妻、黑丝、性感、巨乳、丝袜、床上、酒店、偷情、出轨、淫荡、骚货、奶子、高颜值、御姐、性感、丰满、丝袜、情趣装
"/Users/firewell/影视/AV/#整理完成/美乃すずめ,角奈保/DLDSS-419 DLDSS-419 スワッピングNTR マンネリ解消の夫婦交換で巨乳妻を総取りされた温泉旅行 美乃すずめ 角奈保 角奈保さんのパンティと写真付き/DLDSS-419.mp4",DLDSS-419.mp4,4695328023,d24dcf6fd579d5bd644dc76e07bff5a5,"- 外貌特征：年龄约为30 - 35岁，留着中短卷发（带有刘海），面部化有淡妆，神态成熟；身材体型丰满，胸部较为突出；面部皮肤状态良好，整体神态自然。
- 服装穿着：在不同场景中穿着多样服饰，如室内场景穿黑色V领长袖上衣，和服场景穿红色或带有图案的和服；在浴室、亲密互动等场景多为裸体状态；未佩戴眼镜、眼罩等配饰，未穿着丝袜（多数场景以裸体或和服呈现，无丝袜）。
- 是否穿着丝袜以及丝袜的颜色：未穿着丝袜，无丝袜颜色信息。
- 整体气质和风格：整体气质成熟性感，风格偏向熟女或御姐，展现出成熟自信且富有魅力的特质，在互动场景中呈现亲密、主动的状态。","- 女性职业：推测为人妻（人妻），结合场景包含家庭聚会、私密互动空间等，符合家庭相关职业特点。
- 场景环境描述：包含室内家庭环境（餐桌、和服聚会场景）、私密浴室（带热水浴缸、木质墙面）、酒店房间（床、日常家具）等，环境温馨且具有私密性，适合亲密互动行为。
- 可能的剧情情节：围绕亲密关系展开，包含家庭聚会后的私密互动、浴缸内接吻、多人亲密互动（如一男两女或换妻类情节）等，属于成人题材中常见的亲密、偷情、多人互动类剧情。
- 人物关系和互动：与配偶存在亲密互动（如接吻、床上场景），与其他男性或女性也有亲密互动（多人浴缸、床上的多人互动场景），关系偏向亲密伴侣或亲密伙伴，互动以亲密行为为主。",熟女、性感、人妻、中短卷发、丰满、裸体、和服、浴室、酒店、亲密互动、巨乳,熟女、性感、人妻、中短卷发、丰满、裸体、和服、浴室、酒店、亲密互动、巨乳
/Users/firewell/影视/AV/#整理完成/芦名ほのか/GVH-745 屈辱の接待宴会/GVH-745.mp4,GVH-745.mp4,7677850192,b2e3fef65d08960993cda93ef06b5835,"- 外貌特征：年龄约25 - 30岁，身材丰满，中长发带有齐刘海，妆容为浓妆风格，面部有红唇、眼妆等精致妆容。
- 服装穿着：包含灰色细条纹西装套装（搭配粉色褶皱衬衫、左臂有黄色袖标，属于职场正装风格）、粉色衬衫搭配黑色短裤的休闲职场风装束、裸露装、黑色蕾丝内衣与内裤等情趣装；未佩戴眼镜和眼罩；穿着黑色丝袜。
- 整体气质和风格：前期呈现职场干练的气质，穿着职业装时显得端庄；后期因场景转变为性感、表演化的风格，在裸露与互动场景中展现出性感、主动的气质，整体风格从职业装风格过渡到带有成人表演性质的互动角色风格，兼具端庄与性感特质。","- 女性职业：OL（办公室职员）。
- 场景环境描述：场景为日式风格的室内聚会空间，有推拉门、榻榻米地板与木质装饰，属于公司内部的聚会场所（如会议室、休息室等），场地内有桌子、饮料、气球等，布置适合聚会活动。
- 可能的剧情情节：剧情围绕职场聚会中的特殊互动展开，属于影视化场景，包含多人围观、肢体接触、角色扮演、裸露互动等情节，女性角色在剧情中是互动的核心，情节涉及角色间的表演与互动模式。
- 人物关系和互动：与其他男性角色（推测为同事群体）存在互动关系，呈现近距离接触、围观、参与互动等模式，人物关系偏向职场内的群体互动，剧情中体现特殊互动关系。",提取的关键词有：OL、职业装、办公室、裸露、多人、巨乳、性感、丝袜、黑丝、调教、情趣装、御姐、熟女、高颜值、聚会、日式房间、裸露、互动。,OL、职业装、办公室、调教、黑丝、裸露、多人、巨乳、性感、丝袜、御姐、熟女、高颜值、对白、情趣装、裸露、多人
/Users/firewell/影视/AV/#整理完成/花音うらら/MXGS-1381 超優良、リピート確実！天然剛毛美女があなたをおもてなす Special風俗◇/MXGS-1381.mp4,MXGS-1381.mp4,5607917511,ea9325b1c6a576fb4877cf7a73288853,"- 外貌特征：年龄约为25 - 30岁（青年），身材丰满；发型为黑色短发且带有齐刘海；妆容为浓妆，有红唇等表现，面部妆容具有表演效果。
- 服装穿着：包含黑色紧身连衣裙、黑色蕾丝吊带式内衣及内裤、带有兔耳发饰的深色上衣搭配牛仔裤（特定场景）、灰色蕾丝吊带等；颜色以黑色、深色系为主；未显示鞋子；无眼镜、眼罩。
- 是否穿着丝袜以及丝袜的颜色：穿着丝袜，丝袜颜色为黑色或灰色。
- 整体气质和风格：整体气质性感、主动，风格偏向情色表演类的挑逗与亲密互动，属于专业演员在表演中所呈现的媚态与主动型角色风格。","- 女性职业：成人影视演员（情色表演从业者）。
- 场景环境描述：室内私密空间，布置有床、衣柜、书桌、台灯等设施，属于酒店房间或类似公寓的卧室，墙面有现代装饰，灯光柔和，为私密且适合亲密互动的场景。
- 可能的剧情情节：围绕情色表演展开，包含两人间的亲密接触、挑逗互动、性爱等情节，属于成人影片中常见的亲密与性互动类剧情，强调角色间的表演性亲密行为。
- 人物关系和互动：与男性演员为职业搭档关系，在表演中呈现亲密、挑逗、性互动等互动模式，无真实生活关系，仅为表演中的角色互动。",提取的关键词有：短发、浓妆、性感、蕾丝内衣、丝袜、酒店房间、床、亲密互动、性挑逗、情色表演、丰满身材、黑色连衣裙等（重点关注人物特征、服装、场景、动作等方面）。,少妇、熟女、性感、黑丝、丝袜、酒店、床上、亲密、御姐、丰满、蕾丝内衣、情趣装、亲密互动、巨乳、奶子、高颜值、御姐、漂亮、约炮、出轨、床上、性感、闺蜜、已婚、丝袜、奶子、高颜值、自慰、姐姐、强奸、迷奸、多人、群交、一男两女、OL、职业装、熟女、丰满、性感、蕾丝内衣、情趣装、亲密互动、黑丝、丝袜
